AAPL,AMZN,GOOGL,JPM,META,MSFT,NFLX,TSLA,V,WMT
0.00014397640192021562,0.00012978153063981286,0.00011395477384237825,3.515463091704309e-05,0.00012206150049622072,9.820774419028193e-05,8.548751057595925e-05,0.00011658906605679222,4.300467496706758e-05,-7.020827928360456e-06
0.00012978153063981286,0.0004317357703362358,0.00023598261882931516,1.2753481675087775e-05,0.0002636347589140071,0.00013552867160443758,8.46037312635622e-05,0.0002278042137864789,6.938388333393646e-05,4.9562980925389646e-05
0.00011395477384237825,0.00023598261882931516,0.00031106850949137835,4.8527222167671505e-05,0.00022080607725419044,9.084068681932814e-05,9.98581042020873e-05,0.00017162185240314563,4.662152741736343e-05,1.7680279311875908e-05
3.515463091704309e-05,1.2753481675087775e-05,4.8527222167671505e-05,9.686751757641926e-05,1.9512533071389357e-05,2.4123501576178824e-05,1.2834877343350513e-05,6.037685970175502e-05,3.8883740429913196e-05,-4.059520274780967e-07
0.00012206150049622072,0.0002636347589140071,0.00022080607725419044,1.9512533071389357e-05,0.00030612327599932593,0.00015089300604881966,6.023073547089539e-05,0.00024180896373211715,3.989727144540176e-05,3.0154511242244946e-05
9.820774419028193e-05,0.00013552867160443758,9.084068681932814e-05,2.4123501576178824e-05,0.00015089300604881966,0.00019106281712494115,0.0001155837808909275,0.00012660636728751556,5.353924939155811e-05,2.088583905060103e-07
8.548751057595925e-05,8.46037312635622e-05,9.98581042020873e-05,1.2834877343350513e-05,6.023073547089539e-05,0.0001155837808909275,0.0006642204826457595,-0.00012962474612084008,1.4433094988449275e-05,-1.005118665352726e-05
0.00011658906605679222,0.0002278042137864789,0.00017162185240314563,6.037685970175502e-05,0.00024180896373211715,0.00012660636728751556,-0.00012962474612084008,0.0009811927165167197,9.051540829893441e-05,0.00012725821866669756
4.300467496706758e-05,6.938388333393646e-05,4.662152741736343e-05,3.8883740429913196e-05,3.989727144540176e-05,5.353924939155811e-05,1.4433094988449275e-05,9.051540829893441e-05,9.413466588649468e-05,2.0960070768063883e-05
-7.020827928360456e-06,4.9562980925389646e-05,1.7680279311875908e-05,-4.059520274780967e-07,3.0154511242244946e-05,2.088583905060103e-07,-1.005118665352726e-05,0.00012725821866669756,2.0960070768063883e-05,0.00016768702958801107
