AAPL,AMZN,GOOGL,JPM,META,MSFT,NFLX,TSLA,V,WMT
189.4600067138672,138.1199951171875,135.66000366210938,146.82000732421875,296.3800048828125,328.6600036621094,439.8800048828125,245.00999450683594,248.11000061035156,161.57000732421875
189.6999969482422,137.27000427246094,135.77000427246094,145.1999969482422,300.1499938964844,333.54998779296875,448.67999267578125,256.489990234375,245.33999633789062,160.27000427246094
182.91000366210938,135.36000061035156,134.4600067138672,144.9600067138672,299.1700134277344,332.8800048828125,445.760009765625,251.9199981689453,246.16000366210938,161.47000122070312
177.55999755859375,137.85000610351562,135.25999450683594,143.72000122070312,298.6700134277344,329.9100036621094,443.1400146484375,251.49000549316406,247.13999938964844,163.47000122070312
178.17999267578125,138.22999572753906,136.3800048828125,143.8300018310547,297.8900146484375,334.2699890136719,442.79998779296875,248.5,247.2899932861328,163.77000427246094
179.36000061035156,143.10000610351562,136.9199981689453,144.4600067138672,307.55999755859375,337.94000244140625,445.3599853515625,273.5799865722656,247.22000122070312,164.33999633789062
176.3000030517578,141.22999572753906,135.33999633789062,146.33999633789062,301.6600036621094,331.7699890136719,434.69000244140625,267.4800109863281,247.3000030517578,164.52000427246094
174.2100067138672,144.85000610351562,136.7100067138672,146.41000366210938,305.05999755859375,336.05999755859375,412.239990234375,271.29998779296875,247.8300018310547,164.55999755859375
175.74000549316406,144.72000122070312,138.10000610351562,149.25,311.7200012207031,338.70001220703125,400.489990234375,276.0400085449219,241.5,165.25
175.00999450683594,140.38999938964844,137.39999389648438,148.80999755859375,300.30999755859375,330.2200012207031,396.94000244140625,274.3900146484375,241.07000732421875,164.63999938964844
177.97000122070312,139.97999572753906,138.2100067138672,149.1199951171875,302.54998779296875,329.05999755859375,394.3999938964844,265.2799987792969,244.66000366210938,163.4199981689453
179.07000732421875,137.6300048828125,138.0399932861328,148.92999267578125,305.07000732421875,328.6499938964844,396.20001220703125,266.5,243.55999755859375,163.3800048828125
175.49000549316406,135.2899932861328,133.74000549316406,148.3000030517578,299.6700134277344,320.7699890136719,386.29998779296875,262.5899963378906,241.86000061035156,163.91000366210938
